season,year,anom_c,oni
MAM,2022,-0.95,la_nina
AMJ,2022,-0.9,la_nina
MJJ,2022,-0.78,la_nina
JJA,2022,-0.76,la_nina
JAS,2022,-0.87,la_nina
ASO,2022,-0.97,la_nina
SON,2022,-0.94,la_nina
OND,2022,-0.85,la_nina
NDJ,2022,-0.71,la_nina
DJF,2023,-0.54,la_nina
JFM,2023,-0.29,neutral
FMA,2023,-0.02,neutral
MAM,2023,0.27,neutral
AMJ,2023,0.57,el_nino
MJJ,2023,0.84,el_nino
JJA,2023,1.12,el_nino
JAS,2023,1.37,el_nino
ASO,2023,1.6,el_nino
SON,2023,1.83,el_nino
OND,2023,1.99,el_nino
NDJ,2023,2.06,el_nino
DJF,2024,1.92,el_nino
JFM,2024,1.62,el_nino
FMA,2024,1.26,el_nino
MAM,2024,0.82,el_nino
AMJ,2024,0.49,neutral
MJJ,2024,0.22,neutral
JJA,2024,0.08,neutral
JAS,2024,-0.07,neutral
ASO,2024,-0.17,neutral
SON,2024,-0.21,neutral
OND,2024,-0.3,neutral
NDJ,2024,-0.42,neutral
DJF,2025,-0.45,neutral
JFM,2025,-0.24,neutral
FMA,2025,-0.06,neutral
MAM,2025,0.02,neutral
AMJ,2025,-0.02,neutral
MJJ,2025,-0.04,neutral
JJA,2025,-0.14,neutral
JAS,2025,-0.28,neutral
ASO,2025,-0.4,neutral
SON,2025,-0.51,neutral
OND,2025,-0.55,neutral
NDJ,2025,-0.54,neutral
DJF,2026,-0.37,neutral
JFM,2026,-0.14,neutral
FMA,2026,0.13,neutral
MAM,2026,0.51,neutral
AMJ,2026,0.98,neutral
